severity,variable,descripcion,n,media,desviacion_estandar,minimo,maximo
1,ndvi_med,NDVI promedio,27,0.878411,0.010596,0.84804,0.892666
2,ndvi_med,NDVI promedio,47,0.872789,0.015417,0.826087,0.894434
3,ndvi_med,NDVI promedio,35,0.855317,0.022401,0.775026,0.888567
4,ndvi_med,NDVI promedio,45,0.814126,0.032418,0.729996,0.871709
5,ndvi_med,NDVI promedio,45,0.767979,0.055399,0.589066,0.840108
6,ndvi_med,NDVI promedio,13,0.687071,0.073961,0.532207,0.813544
1,evi_med,EVI promedio,27,0.790498,0.08591,0.638046,0.927066
2,evi_med,EVI promedio,47,0.65302,0.217378,0.01416,0.860697
3,evi_med,EVI promedio,35,0.442552,0.316289,0.001465,0.862928
4,evi_med,EVI promedio,45,0.389202,0.240697,0.010498,0.70763
5,evi_med,EVI promedio,45,0.430134,0.169902,0.006104,0.739029
6,evi_med,EVI promedio,13,0.318021,0.152521,0.004883,0.629362
1,ndre_med,NDRE promedio,27,0.33829,0.028089,0.287091,0.388338
2,ndre_med,NDRE promedio,47,0.322966,0.03404,0.230192,0.387311
3,ndre_med,NDRE promedio,35,0.287686,0.039692,0.220126,0.36967
4,ndre_med,NDRE promedio,45,0.230059,0.042852,0.14603,0.322176
5,ndre_med,NDRE promedio,45,0.207274,0.028791,0.156162,0.275124
6,ndre_med,NDRE promedio,13,0.198729,0.020293,0.168763,0.23279
1,gli_med,GLI promedio,27,0.418376,0.016459,0.391081,0.458933
2,gli_med,GLI promedio,47,0.380734,0.109939,0.01416,0.442297
3,gli_med,GLI promedio,35,0.282555,0.170171,0.001465,0.446327
4,gli_med,GLI promedio,45,0.303346,0.169183,0.010498,0.457646
5,gli_med,GLI promedio,45,0.350846,0.115496,0.006104,0.453716
6,gli_med,GLI promedio,13,0.283331,0.118167,0.004883,0.433823
1,height_med,Altura media,27,0.510118,0.205159,0.084961,0.817139
2,height_med,Altura media,47,0.47831,0.212021,0.01416,0.81543
3,height_med,Altura media,35,0.334033,0.262952,0.001465,0.847168
4,height_med,Altura media,45,0.249213,0.204824,0.010498,0.753418
5,height_med,Altura media,45,0.300304,0.194563,0.000488,0.676758
6,height_med,Altura media,13,0.338078,0.251117,0.004883,0.733521
